window,hidden,lr,weight_decay,batch,loss,config_id,seed,train_end,validation_end,best_epoch,epochs_run,naive_mae,mae,gain_percent
20,8,3e-05,0.01,256,mae,244,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,16,3e-05,0.001,32,mse,243,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,32,3e-05,0.001,32,mse,239,42,874,999,15,25,5.986080000000007,5.984563035438821,0.0253415350477403
20,16,0.0001,0.0,256,mae,246,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,4,3e-05,0.0,64,mse,245,42,874,999,1,11,5.986080000000007,5.98596420713792,0.0019343687703288
5,8,0.0003,0.001,32,mse,248,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,24,0.0003,0.0,256,mae,249,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,4,3e-05,0.1,256,mse,247,42,874,999,17,27,5.986080000000007,5.984995509594122,0.0181168712393597
10,32,0.0001,0.01,256,mae,250,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,4,0.0001,0.001,256,mae,251,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,24,0.0003,0.1,256,mse,253,42,874,999,1,11,5.986080000000007,5.985805076187949,0.0045927186415495
5,64,0.0001,0.01,256,mae,255,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,32,0.001,0.0,32,mae,254,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,64,0.001,0.1,32,mse,252,42,874,999,19,29,5.986080000000007,5.98297781416119,0.0518233274332646
5,16,0.0001,0.0,256,mse,256,42,874,999,1,11,5.986080000000007,5.98600260823305,0.0012928622229901876
10,16,3e-05,0.01,256,mse,260,42,874,999,1,11,5.986080000000007,5.986072217587698,0.0001300084915167865
30,16,0.0003,0.01,32,mae,259,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,24,0.0001,0.001,64,mse,257,42,874,999,1,11,5.986080000000007,5.985538729292686,0.009042156257876854
60,8,0.003,0.01,32,mse,258,42,874,999,2,12,5.986080000000007,5.984805979527619,0.021283051218634608
30,32,0.003,0.001,256,mae,261,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
